"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Zbp1",320.936835579415,7.00002750012363,0.666637999533654,10.5004927787202,8.59303614138387e-26,2.01568076345033e-23
"Nupr1",4123.97907367178,1.15887649929758,0.110625177617806,10.4757029480335,1.11704597160256e-25,2.57932896380353e-23
"Il27",428.837945203774,9.47579828864486,0.909761437393489,10.415695696878,2.10254665538354e-25,4.78022068819352e-23
"H2-M2",342.936352982069,8.69880284211129,0.843584417109552,10.3117158943224,6.23775195791076e-25,1.3966893702122e-22
"Slc2a6",1429.07312960843,4.86187678032879,0.474081916969177,10.2553516729998,1.11967682192141e-24,2.46963941408278e-22
"Fas",1573.40205551783,2.78609852193106,0.273722675535241,10.1785448227228,2.47230705736073e-24,5.37290495495249e-22
"Il6",901.482370687903,6.14151129940648,0.608491541650946,10.0930101390456,5.93219549989289e-24,1.27052152315097e-21
"Helz2",4280.50358166851,4.62211094044107,0.460044047643796,10.0471051937616,9.46056987759635e-24,1.99726145215884e-21
"Gbp4",444.570382354544,9.27431109788029,0.924011898608829,10.0370039734807,1.04809203253869e-23,2.1815076136418e-21
"Irg1",10966.2560982561,9.57343653402527,0.955326877538513,10.0211108460511,1.23111362417974e-23,2.52686071362892e-21
"Clec4e",3318.48268042705,8.842546909277,0.886064113939825,9.9795790960986,1.87259435638751e-23,3.79084923269788e-21
"Irgm1",7622.2822854276,3.58474259338448,0.368356761121096,9.73171384848291,2.20840316354424e-22,4.41024080416984e-20
"Irgm2",2956.28164947092,4.83475410904679,0.497305420881199,9.72190108139151,2.43197858454722e-22,4.79197060299184e-20
"Pde4b",927.534333872776,3.76913749032922,0.392582330955312,9.60088417926854,7.92615372825481e-22,1.54121973415986e-19
"Ccl3",13771.7708446445,6.19644900401984,0.645525140312205,9.59908238588966,8.06592900989786e-22,1.54802985595157e-19
"Il12b",2569.00205274834,10.4614854767991,1.09231909450492,9.57731630750319,9.95992547607219e-22,1.88702280365891e-19
"Jak2",3022.87416836364,2.66344545542614,0.279430096122774,9.531705755331,1.54719787032181e-21,2.89423925666022e-19
"Bcl10",1307.57942939705,1.05834816906679,0.111331931544611,9.50624097133089,1.97676802781494e-21,3.65158473938115e-19
"Ccrl2",3193.81623330242,6.46592602810131,0.680321293688093,9.50422408954577,2.01544872378158e-21,3.67707422716594e-19
"Ptx3",2500.85600507983,4.44724533821061,0.469415740263637,9.47400131003896,2.69324587996965e-21,4.85375458709652e-19
"Myc",855.312500693233,1.64234468983309,0.173992120816195,9.43919001693219,3.7567211265453e-21,6.68877407326343e-19
"Slc7a2",4096.58480617033,5.20083742794854,0.551850117220369,9.42436590236639,4.3271213862401e-21,7.61264283879241e-19
"Psd",244.075050274967,2.36422775244826,0.251611920451102,9.3963264864779,5.6501324149551e-21,9.82325374449488e-19
"Ifit3",3774.1442724181,5.56125111341608,0.592079433702412,9.39274495423742,5.8456562411183e-21,1.00450125501449e-18
"Ets2",2386.9549239701,2.41222961469263,0.257663518717584,9.36193694279472,7.82881112417784e-21,1.32981805509311e-18
"Traf1",379.25662809312,7.22059939934462,0.771421087557034,9.36012706395037,7.96408578631997e-21,1.33742340625269e-18
